出发地	目的地	价格	路程时间
北京	上海	632	306
北京	广州	984	493
北京	深圳	1039	523
北京	成都	778.5	490
北京	杭州	699	325
北京	武汉	537	371
北京	西安	562	281
北京	重庆	867	433
北京	青岛	333	225
北京	长沙	787.5	328
北京	南京	502	234
北京	厦门	935.5	611
北京	昆明	1278.5	684
北京	大连	397	284
北京	天津	54	69
北京	郑州	290	219
北京	三亚	564	2290
北京	济南	180	113
北京	福州	831	488
上海	北京	650	296
上海	广州	793	448
上海	深圳	834	438
上海	成都	768.5	744
上海	杭州	66.5	82
上海	武汉	346	236
上海	西安	686	382
上海	重庆	631.5	592
上海	青岛	274	284
上海	长沙	511.5	321
上海	南京	128	105
上海	厦门	467	349
上海	昆明	976.5	654
上海	大连	897.5	677
上海	天津	589	264
上海	郑州	484.5	270
上海	三亚	1003.5	1510
上海	济南	406	252
上海	福州	377.5	234
广州	北京	1007	493
广州	上海	793	451
广州	深圳	74	64
广州	成都	559	575
广州	杭州	716	411
广州	武汉	458.5	243
广州	西安	926	470
广州	重庆	413	481
广州	青岛	1073	797
广州	长沙	298.5	174
广州	南京	660.5	440
广州	厦门	302.5	208
广州	昆明	477.5	449
广州	大连	361.5	2468
广州	天津	1019	547
广州	郑州	736.5	345
广州	三亚	222.5	962
广州	济南	932.5	566
广州	福州	381.5	310
深圳	北京	1039	513
深圳	上海	834	441
深圳	广州	74	64
深圳	成都	633.5	616
深圳	杭州	720	418
深圳	武汉	553	277
深圳	西安	913	496
深圳	重庆	487.5	519
深圳	青岛	1126.5	850
深圳	长沙	388.5	186
深圳	南京	739	434
深圳	厦门	228	189
深圳	昆明	532	503
深圳	大连	1173	1024
深圳	天津	794.5	747
深圳	郑州	776.5	371
深圳	三亚	290	1097
深圳	济南	1007	607
深圳	福州	307	275
成都	北京	840.5	499
成都	上海	690	765
成都	广州	576	613
成都	深圳	640.5	620
成都	杭州	985.5	794
成都	武汉	636	387
成都	西安	264	243
成都	重庆	96.5	152
成都	青岛	823.5	614
成都	长沙	594.5	417
成都	南京	575	661
成都	厦门	763.5	826
成都	昆明	495	344
成都	大连	1182.5	863
成都	天津	833	541
成都	郑州	503	338
成都	三亚	786.5	1693
成都	济南	805.5	589
成都	福州	942	747
杭州	北京	671	339
杭州	上海	73	80
杭州	广州	735.5	414
杭州	深圳	737	402
杭州	成都	990.5	737
杭州	武汉	339.5	233
杭州	西安	657.5	388
杭州	重庆	596	611
杭州	青岛	329.5	375
杭州	长沙	420.5	264
杭州	南京	113.5	106
杭州	厦门	393	348
杭州	昆明	903.5	607
杭州	大连	960.5	723
杭州	天津	549.5	273
杭州	郑州	435	246
杭州	三亚	426.5	2174
