出发地	目的地	价格	路程时间
杭州	济南	409.5	295
杭州	福州	309.5	207
武汉	北京	437	391
武汉	上海	354	229
武汉	广州	458.5	240
武汉	深圳	553	279
武汉	成都	645	409
武汉	杭州	341	237
武汉	西安	460	323
武汉	重庆	482	333
武汉	青岛	498	417
武汉	长沙	169	113
武汉	南京	201	162
武汉	厦门	341	416
武汉	昆明	663	411
武汉	大连	924	645
武汉	天津	627.5	323
武汉	郑州	214	150
武汉	三亚	674	1275
武汉	济南	397	261
武汉	福州	370	347
西安	北京	585	274
西安	上海	685	370
西安	广州	941	480
西安	深圳	913	498
西安	成都	264	238
西安	杭州	657.5	385
西安	武汉	532	241
西安	重庆	282.5	318
西安	青岛	560.5	426
西安	长沙	644	332
西安	南京	544.5	309
西安	厦门	796	738
西安	昆明	744.5	612
西安	大连	951.5	650
西安	天津	570	347
西安	郑州	221	135
西安	三亚	462.5	2695
西安	济南	535.5	311
西安	福州	838	629
重庆	北京	881	448
重庆	上海	640.5	601
重庆	广州	423	494
重庆	深圳	487.5	521
重庆	成都	95.5	167
重庆	杭州	617	624
重庆	武汉	400	336
重庆	西安	279.5	324
重庆	青岛	921	772
重庆	长沙	457.5	337
重庆	南京	478.5	532
重庆	厦门	642.5	782
重庆	昆明	351.5	275
重庆	大连	1262	831
重庆	天津	912.5	502
重庆	郑州	515	313
重庆	三亚	623.5	1559
重庆	济南	845.5	519
重庆	福州	853	618
青岛	北京	348	238
青岛	上海	274	287
青岛	广州	917.5	741
青岛	深圳	992	752
青岛	成都	823.5	634
青岛	杭州	347	348
青岛	武汉	432	423
青岛	西安	560.5	420
青岛	重庆	961	711
青岛	长沙	622.5	533
青岛	南京	221	259
青岛	厦门	713	845
青岛	昆明	1290	991
青岛	大连	621	573
青岛	天津	288	199
青岛	郑州	321.5	276
青岛	三亚	1250.5	1907
青岛	济南	157	131
青岛	福州	651.5	587
长沙	北京	787.5	335
长沙	上海	527.5	315
长沙	广州	298.5	168
长沙	深圳	388.5	190
长沙	成都	569.5	473
长沙	杭州	420.5	255
长沙	武汉	169	115
长沙	西安	644	321
长沙	重庆	457.5	367
长沙	青岛	626.5	542
长沙	南京	367.5	262
长沙	厦门	326.5	421
长沙	昆明	527	334
长沙	大连	908	815
长沙	天津	806	407
长沙	郑州	457.5	197
长沙	三亚	318	1500
长沙	济南	688	380
长沙	福州	420	292
南京	北京	501	234
南京	上海	151	100
南京	广州	660.5	458
南京	深圳	752.5	477
南京	成都	575	654
南京	杭州	117.5	99
南京	武汉	201	168
南京	西安	586.5	322
南京	重庆	478.5	534
南京	青岛	228	245
南京	长沙	369.5	279
南京	厦门	498.5	464
南京	昆明	866	604
南京	大连	792.5	568
南京	天津	451	199
南京	郑州	347.5	182
南京	三亚	871	1545
南京	济南	292	183
南京	福州	422	265
厦门	北京	897	709
厦门	上海	466	414
厦门	广州	302.5	198
厦门	深圳	228	187
厦门	成都	864	968
厦门	杭州	393	357
厦门	武汉	319.5	451
厦门	西安	973	724
厦门	重庆	602.5	880
厦门	青岛	758	675
厦门	长沙	391	414
厦门	南京	498.5	454
厦门	昆明	843.5	794
厦门	大连	1269	1821
厦门	天津	843	669
厦门	郑州	646.5	566
厦门	三亚	529.5	1461
厦门	济南	711	586
厦门	福州	84	113
昆明	北京	1274.5	794
昆明	上海	879	703
昆明	广州	477.5	446
昆明	深圳	514	533
昆明	成都	264	466
昆明	杭州	903.5	581
昆明	武汉	693	416
昆明	西安	772.5	581
昆明	重庆	351.5	285
昆明	青岛	1162	1548
昆明	长沙	527	321
昆明	南京	866	593
昆明	厦门	672	771
昆明	大连	1520.5	1908
昆明	天津	1304.5	725
昆明	郑州	902.5	599
昆明	三亚	315.5	2433
昆明	济南	1190	882
昆明	福州	903	618
大连	北京	402.5	335
大连	上海	895.5	655
大连	广州	1142	1062
大连	深圳	1182	1107
大连	成都	1187.5	858
大连	杭州	960.5	684
大连	武汉	1043	611
大连	西安	980.5	625
大连	重庆	1207.5	810
大连	青岛	555	639
大连	长沙	1005.5	838
大连	南京	827.5	509
大连	厦门	362	2103
大连	昆明	1649	1417
大连	天津	330.5	281
大连	郑州	791	506
大连	三亚	538.5	3944
大连	济南	494.5	381
end
